datetime,price,number,type
20231020052,45159,9,
20231020053,45146,6,
20231020054,45137,7,
20231020055,45123,3,
20231020056,45116,6,
20231020057,45092,2,
20231020058,45108,8,
20231020059,45133,3,
20231020060,45103,3,
20231020061,45131,1,
20231020062,45120,0,
20231020063,45137,7,
20231020064,45146,6,
20231020065,45146,6,
20231020066,45157,7,
20231020067,45133,3,
20231020068,45141,1,
20231020069,45168,8,
20231020070,45178,8,
20231020071,45191,1,
20231020072,45198,8,
20231020073,45188,8,
20231020074,45158,8,
20231020075,45171,1,
20231020076,45146,6,
20231020077,45158,8,
20231020078,45143,3,
20231020079,45139,9,
20231020080,45129,9,
20231020081,45106,6,
20231020082,45133,3,
20231020083,45157,7,
20231020084,45153,3,
20231020085,45144,4,
20231020086,45158,8,
20231020087,45162,2,
20231020088,45151,1,
20231020089,45153,3,
20231020090,45171,1,
20231020091,45180,0,
20231020092,45181,1,
20231020093,45168,8,
20231020094,45182,2,
20231020095,45203,3,
20231020096,45203,3,
20231020097,45184,4,
20231020098,45204,4,
20231020099,45204,4,
20231020100,45204,4,
20231020101,45172,2,
20231020102,45181,1,
20231020103,45219,9,
20231020104,45242,2,
20231020105,45267,7,
20231020106,45242,2,
20231020107,45232,2,
20231020108,45252,2,
20231020109,45254,4,
20231020110,45232,2,
20231020111,45261,1,
20231020112,45234,4,
20231020113,45233,3,
20231020114,45206,6,
20231020115,45193,3,
20231020116,45192,2,
20231020117,45184,4,
20231020118,45153,3,
20231020119,45154,4,
20231020120,45131,1,
20231020121,45113,3,
20231020122,45132,2,
20231020123,45119,9,
20231020124,45129,9,
20231020125,45147,7,
20231020126,45134,4,
20231020127,45108,8,
20231020128,45084,4,
20231020129,45083,3,
20231020130,45082,2,
20231020131,45059,9,
20231020132,45056,6,
20231020133,45072,2,
20231020134,45049,9,
20231020135,45043,3,
20231020136,45064,4,
20231020137,45071,1,
20231020138,45047,7,
20231020139,45057,7,
20231020140,45029,9,
20231020141,45044,4,
20231020142,45066,6,
20231020143,45077,7,
20231020144,45080,0,
20231020145,45073,3,
20231020146,45083,3,
20231020147,45070,0,
20231020148,45094,4,
20231020149,45083,3,
20231020150,45068,8,
20231020151,45048,8,
20231020152,45024,4,
20231020153,45013,3,
20231020154,45013,3,
20231020155,45011,1,
20231020156,45026,6,
20231020157,45030,0,
20231020158,45036,6,
20231020159,45029,9,
20231020160,45058,8,
20231020161,45087,7,
20231020162,45082,2,
20231020163,45064,4,
20231020164,45066,6,
20231020165,45072,2,
20231020166,45107,7,
20231020167,45121,1,
20231020168,45096,6,
20231020169,45119,9,
20231020170,45100,0,
20231020171,45138,8,
20231020182,45226,6,
20231020183,45212,2,
20231020184,45196,6,
20231020185,45187,7,
20231020186,45179,9,
20231020187,45177,7,
20231020188,45153,3,
20231020189,45151,1,
20231020190,45183,3,
20231020191,45154,4,
20231020212,45205,5,
20231020213,45189,9,
20231020214,45193,3,
20231020215,45197,7,
20231020216,45168,8,
20231020217,45144,4,
20231020218,45142,2,
20231020219,45173,3,
20231020220,45176,6,
20231020221,45208,8,
20231020222,45205,5,
20231020223,45236,6,
20231020224,45229,9,
20231020225,45208,8,
20231020226,45210,0,
20231020227,45192,2,
20231020228,45212,2,
20231020229,45248,8,
20231020230,45255,5,
20231020231,45226,6,
20231020232,45197,7,
20231020233,45173,3,
20231020234,45194,4,
20231020235,45212,2,
20231020236,45221,1,
20231020237,45206,6,
20231020238,45234,4,
20231020239,45239,9,
20231020240,45218,8,
20231020241,45198,8,
20231020242,45209,9,
20231020243,45202,2,
20231020244,45171,1,
20231020245,45163,3,
20231020246,45148,8,
20231020247,45119,9,
20231020248,45109,9,
20231020249,45113,3,
20231020250,45098,8,
20231020251,45104,4,
20231020252,45107,7,
20231020253,45110,0,
20231020254,45131,1,
20231020255,45122,2,
20231020256,45123,3,
20231020257,45136,6,
20231020258,45125,5,
20231020259,45142,2,
20231020260,45119,9,
20231020261,45111,1,
20231020262,45149,9,
20231020263,45158,8,
20231020264,45132,2,
20231020265,45144,4,
20231020266,45154,4,
20231020267,45189,9,
20231020268,45192,2,
20231020269,45178,8,
20231020270,45161,1,
20231020271,45138,8,
20231020272,45132,2,
20231020273,45111,1,
20231020274,45111,1,
20231020275,45101,1,
20231020276,45086,6,
20231020277,45087,7,
20231020278,45091,1,
