datetime,price,number,type
20231020052,59965,5,
20231020053,59954,4,
20231020054,59973,3,
20231020055,59960,0,
20231020056,59982,2,
20231020057,59988,8,
20231020058,59984,4,
20231020059,59992,2,
20231020060,59980,0,
20231020061,60017,7,
20231020062,60003,3,
20231020063,60009,9,
20231020064,59991,1,
20231020065,60019,9,
20231020066,60026,6,
20231020067,60006,6,
20231020068,60024,4,
20231020069,59999,9,
20231020070,60019,9,
20231020071,59991,1,
20231020072,59994,4,
20231020073,60029,9,
20231020074,60006,6,
20231020075,60027,7,
20231020076,60033,3,
20231020077,60031,1,
20231020078,60041,1,
20231020079,60031,1,
20231020080,60048,8,
20231020081,60057,7,
20231020082,60051,1,
20231020083,60023,3,
20231020084,60002,2,
20231020085,59986,6,
20231020086,59973,3,
20231020087,59994,4,
20231020088,59988,8,
20231020089,59993,3,
20231020090,59995,5,
20231020091,59993,3,
20231020092,59992,2,
20231020093,60014,4,
20231020094,60021,1,
20231020095,60002,2,
20231020096,59988,8,
20231020097,59999,9,
20231020098,59974,4,
20231020099,59998,8,
20231020100,60006,6,
20231020101,60029,9,
20231020102,60025,5,
20231020103,60014,4,
20231020104,60049,9,
20231020105,60036,6,
20231020106,60059,9,
20231020107,60031,1,
20231020108,60049,9,
20231020109,60071,1,
20231020110,60075,5,
20231020111,60091,1,
20231020112,60092,2,
20231020113,60118,8,
20231020114,60097,7,
20231020115,60116,6,
20231020116,60149,9,
20231020117,60147,7,
20231020118,60130,0,
20231020119,60121,1,
20231020120,60097,7,
20231020121,60088,8,
20231020122,60097,7,
20231020123,60118,8,
20231020124,60108,8,
20231020125,60088,8,
20231020126,60081,1,
20231020127,60119,9,
20231020128,60098,8,
20231020129,60109,9,
20231020130,60074,4,
20231020131,60089,9,
20231020132,60106,6,
20231020133,60081,1,
20231020134,60097,7,
20231020135,60104,4,
20231020136,60089,9,
20231020137,60069,9,
20231020138,60037,7,
20231020139,60029,9,
20231020140,60014,4,
20231020141,60048,8,
20231020142,60026,6,
20231020143,59998,8,
20231020144,59991,1,
20231020145,60005,5,
20231020146,60027,7,
20231020147,60031,1,
20231020148,60043,3,
20231020149,60051,1,
20231020150,60036,6,
20231020151,60043,3,
20231020152,60024,4,
20231020153,60031,1,
20231020154,60009,9,
20231020155,59984,4,
20231020156,59985,5,
20231020157,60009,9,
20231020158,59986,6,
20231020159,59974,4,
20231020160,59944,4,
20231020161,59921,1,
20231020162,59917,7,
20231020163,59897,7,
20231020164,59866,6,
20231020165,59872,2,
20231020166,59862,2,
20231020167,59863,3,
20231020168,59862,2,
20231020169,59863,3,
20231020170,59847,7,
20231020171,59878,8,
20231020182,59937,7,
20231020183,59947,7,
20231020184,59964,4,
20231020185,59947,7,
20231020186,59964,4,
20231020187,59943,3,
20231020188,59977,7,
20231020189,59968,8,
20231020190,59963,3,
20231020191,59966,6,
20231020192,59958,8,
20231020193,59964,4,
20231020194,59984,4,
20231020195,60016,6,
20231020196,60024,4,
20231020197,60022,2,
20231020198,60023,3,
20231020199,60022,2,
20231020200,60037,7,
20231020201,60047,7,
20231020202,60043,3,
20231020203,60046,6,
20231020204,60024,4,
20231020205,60023,3,
20231020206,60058,8,
20231020207,60048,8,
20231020208,60042,2,
20231020209,60039,9,
20231020210,60054,4,
20231020211,60034,4,
20231020212,60036,6,
20231020213,60059,9,
20231020214,60031,1,
20231020215,60009,9,
20231020216,59984,4,
20231020217,59997,7,
20231020218,59972,2,
20231020219,59966,6,
20231020220,59976,6,
20231020221,59979,9,
20231020222,59958,8,
20231020223,59936,6,
20231020224,59921,1,
20231020225,59902,2,
20231020226,59929,9,
20231020227,59930,0,
20231020228,59931,1,
20231020229,59931,1,
20231020230,59913,3,
20231020231,59898,8,
20231020232,59878,8,
20231020233,59906,6,
20231020234,59898,8,
20231020235,59895,5,
20231020236,59914,4,
20231020237,59918,8,
20231020238,59909,9,
20231020239,59902,2,
20231020240,59903,3,
20231020241,59884,4,
20231020242,59867,7,
20231020243,59851,1,
20231020244,59824,4,
20231020245,59852,2,
20231020246,59871,1,
20231020247,59880,0,
20231020248,59859,9,
20231020249,59888,8,
20231020250,59863,3,
20231020251,59893,3,
20231020252,59908,8,
20231020253,59921,1,
20231020254,59932,2,
20231020255,59944,4,
20231020256,59939,9,
20231020257,59926,6,
20231020258,59921,1,
20231020259,59911,1,
20231020260,59918,8,
20231020261,59936,6,
20231020262,59945,5,
20231020263,59950,0,
20231020264,59928,8,
20231020265,59936,6,
20231020266,59926,6,
20231020267,59924,4,
20231020268,59944,4,
20231020269,59956,6,
20231020270,59960,0,
20231020271,59958,8,
20231020272,59931,1,
20231020273,59967,7,
20231020274,59996,6,
20231020275,60000,0,
20231020276,59974,4,
20231020277,59991,1,
20231020278,59996,6,
20231020279,59969,9,
20231020280,59955,5,
20231020281,59948,8,
20231020282,59954,4,
20231020283,59972,2,
20231020284,59999,9,
20231020285,59995,5,
