datetime,price,number,type
20231020052,15142,2,
20231020053,15154,4,
20231020054,15131,1,
20231020055,15118,8,
20231020056,15132,2,
20231020057,15103,3,
20231020058,15097,7,
20231020059,15096,6,
20231020060,15091,1,
20231020061,15081,1,
20231020062,15079,9,
20231020063,15092,2,
20231020064,15101,1,
20231020065,15111,1,
20231020066,15087,7,
20231020067,15102,2,
20231020068,15104,4,
20231020069,15127,7,
20231020070,15099,9,
20231020071,15068,8,
20231020072,15043,3,
20231020073,15047,7,
20231020074,15034,4,
20231020075,15048,8,
20231020076,15063,3,
20231020077,15086,6,
20231020078,15088,8,
20231020079,15078,8,
20231020080,15056,6,
20231020081,15027,7,
20231020082,15052,2,
20231020083,15037,7,
20231020084,15017,7,
20231020085,15049,9,
20231020086,15026,6,
20231020087,15031,1,
20231020088,15031,1,
20231020089,15042,2,
20231020090,15051,1,
20231020091,15054,4,
20231020092,15043,3,
20231020093,15045,5,
20231020094,15058,8,
20231020095,15074,4,
20231020096,15071,1,
20231020097,15097,7,
20231020098,15117,7,
20231020099,15096,6,
20231020100,15091,1,
20231020101,15082,2,
20231020122,15142,2,
20231020123,15157,7,
20231020124,15152,2,
20231020125,15177,7,
20231020126,15186,6,
20231020127,15191,1,
20231020128,15209,9,
20231020129,15201,1,
20231020130,15216,6,
20231020131,15248,8,
20231020132,15221,1,
20231020133,15236,6,
20231020134,15226,6,
20231020135,15197,7,
20231020136,15193,3,
20231020137,15229,9,
20231020138,15222,2,
20231020139,15237,7,
20231020140,15231,1,
20231020141,15220,0,
20231020142,15208,8,
20231020143,15202,2,
20231020144,15216,6,
20231020145,15203,3,
20231020146,15202,2,
20231020147,15196,6,
20231020148,15211,1,
20231020149,15206,6,
20231020150,15216,6,
20231020151,15220,0,
20231020152,15208,8,
20231020153,15227,7,
20231020154,15199,9,
20231020155,15228,8,
20231020156,15202,2,
20231020157,15187,7,
20231020158,15209,9,
20231020159,15198,8,
20231020160,15214,4,
20231020161,15212,2,
20231020162,15237,7,
20231020163,15234,4,
20231020164,15244,4,
20231020165,15232,2,
20231020166,15244,4,
20231020167,15277,7,
20231020168,15267,7,
20231020169,15297,7,
20231020170,15285,5,
20231020171,15279,9,
20231020172,15273,3,
20231020173,15272,2,
20231020174,15258,8,
20231020175,15249,9,
20231020176,15234,4,
20231020177,15243,3,
20231020178,15277,7,
20231020179,15289,9,
20231020180,15261,1,
20231020181,15254,4,
20231020182,15238,8,
20231020183,15214,4,
20231020184,15223,3,
20231020185,15252,2,
20231020186,15228,8,
20231020187,15214,4,
20231020188,15232,2,
20231020189,15222,2,
20231020190,15202,2,
