datetime,price,number,type
20231020052,30061,1,
20231020053,30033,3,
20231020054,30066,6,
20231020055,30046,6,
20231020056,30061,1,
20231020057,30057,7,
20231020058,30051,1,
20231020059,30031,1,
20231020060,30058,8,
20231020061,30034,4,
20231020062,30023,3,
20231020063,30049,9,
20231020064,30076,6,
20231020065,30073,3,
20231020066,30073,3,
20231020067,30097,7,
20231020068,30073,3,
20231020069,30083,3,
20231020070,30091,1,
20231020071,30079,9,
20231020072,30062,2,
20231020073,30038,8,
20231020074,30052,2,
20231020075,30039,9,
20231020076,30056,6,
20231020077,30061,1,
20231020078,30062,2,
20231020079,30050,0,
20231020080,30071,1,
20231020081,30084,4,
20231020082,30097,7,
20231020083,30124,4,
20231020084,30103,3,
20231020085,30092,2,
20231020086,30086,6,
20231020087,30101,1,
20231020088,30128,8,
20231020089,30096,6,
20231020090,30084,4,
20231020091,30109,9,
20231020092,30115,5,
20231020093,30101,1,
20231020094,30106,6,
20231020095,30123,3,
20231020096,30122,2,
20231020097,30131,1,
20231020098,30144,4,
20231020099,30174,4,
20231020100,30167,7,
20231020101,30150,0,
20231020102,30168,8,
20231020103,30173,3,
20231020104,30169,9,
20231020105,30156,6,
20231020106,30157,7,
20231020107,30179,9,
20231020108,30178,8,
20231020109,30189,9,
20231020110,30161,1,
20231020111,30143,3,
20231020112,30123,3,
20231020113,30143,3,
20231020114,30153,3,
20231020115,30167,7,
20231020116,30158,8,
20231020117,30167,7,
20231020118,30151,1,
20231020119,30132,2,
20231020120,30169,9,
20231020121,30188,8,
20231020122,30209,9,
20231020123,30213,3,
20231020124,30191,1,
20231020125,30203,3,
20231020126,30207,7,
20231020127,30217,7,
20231020128,30198,8,
20231020129,30194,4,
20231020130,30204,4,
20231020131,30234,4,
20231020132,30221,1,
20231020133,30236,6,
20231020134,30249,9,
20231020135,30232,2,
20231020136,30231,1,
20231020137,30207,7,
20231020138,30192,2,
20231020139,30191,1,
20231020140,30178,8,
20231020141,30157,7,
20231020142,30178,8,
20231020143,30173,3,
20231020144,30148,8,
20231020145,30168,8,
20231020146,30165,5,
20231020147,30148,8,
20231020148,30161,1,
20231020149,30178,8,
20231020150,30184,4,
20231020151,30217,7,
20231020152,30237,7,
20231020153,30242,2,
20231020154,30266,6,
20231020155,30275,5,
20231020156,30249,9,
20231020157,30238,8,
20231020158,30254,4,
20231020159,30253,3,
20231020160,30269,9,
20231020161,30261,1,
20231020162,30270,0,
20231020163,30264,4,
20231020164,30273,3,
20231020165,30257,7,
20231020166,30266,6,
20231020167,30259,9,
20231020168,30271,1,
20231020169,30275,5,
20231020170,30254,4,
20231020171,30277,7,
20231020172,30293,3,
20231020173,30289,9,
20231020174,30263,3,
20231020175,30246,6,
20231020176,30261,1,
20231020177,30234,4,
20231020178,30256,6,
20231020179,30289,9,
20231020180,30299,9,
20231020181,30311,1,
20231020182,30291,1,
20231020183,30297,7,
20231020184,30281,1,
20231020185,30268,8,
20231020186,30278,8,
20231020187,30271,1,
20231020188,30284,4,
20231020189,30286,6,
20231020190,30257,7,
20231020191,30268,8,
20231020192,30263,3,
20231020193,30296,6,
20231020194,30316,6,
20231020195,30344,4,
20231020196,30357,7,
20231020197,30364,4,
20231020198,30350,0,
20231020199,30362,2,
20231020200,30337,7,
20231020201,30357,7,
20231020202,30328,8,
20231020203,30306,6,
20231020204,30306,6,
20231020205,30302,2,
20231020206,30323,3,
20231020207,30301,1,
20231020208,30327,7,
20231020209,30297,7,
20231020210,30271,1,
20231020211,30271,1,
20231020212,30293,3,
20231020213,30293,3,
20231020214,30294,4,
20231020215,30261,1,
20231020216,30243,3,
20231020217,30257,7,
20231020218,30288,8,
20231020219,30261,1,
20231020220,30244,4,
20231020221,30244,4,
20231020222,30256,6,
20231020223,30238,8,
20231020224,30208,8,
20231020225,30192,2,
20231020226,30182,2,
20231020227,30171,1,
20231020228,30191,1,
20231020229,30201,1,
20231020230,30226,6,
20231020231,30241,1,
20231020232,30268,8,
20231020233,30248,8,
20231020234,30255,5,
20231020235,30269,9,
20231020236,30251,1,
20231020237,30231,1,
20231020238,30236,6,
20231020239,30226,6,
20231020240,30244,4,
20231020241,30218,8,
20231020242,30184,4,
20231020243,30213,3,
20231020244,30187,7,
20231020245,30179,9,
20231020246,30153,3,
20231020247,30151,1,
20231020248,30143,3,
20231020249,30169,9,
20231020250,30166,6,
20231020251,30173,3,
20231020252,30208,8,
20231020253,30202,2,
20231020254,30194,4,
20231020255,30203,3,
20231020256,30183,3,
20231020257,30205,5,
20231020258,30237,7,
20231020259,30224,4,
20231020260,30210,0,
20231020261,30219,9,
20231020262,30225,5,
20231020263,30220,0,
20231020264,30203,3,
20231020265,30200,0,
20231020266,30195,5,
20231020267,30177,7,
20231020268,30193,3,
20231020269,30182,2,
20231020270,30166,6,
20231020271,30171,1,
20231020272,30187,7,
20231020273,30159,9,
20231020274,30154,4,
20231020275,30127,7,
20231020276,30141,1,
20231020277,30177,7,
20231020278,30147,7,
20231020279,30134,4,
20231020280,30113,3,
20231020281,30093,3,
20231020282,30119,9,
20231020283,30089,9,
20231020284,30093,3,
20231020285,30127,7,
20231020286,30115,5,
20231020287,30111,1,
20231020288,30100,0,
20231020289,30096,6,
20231020290,30080,0,
20231020291,30072,2,
20231020292,30081,1,
20231020293,30078,8,
20231020294,30066,6,
20231020295,30086,6,
20231020296,30063,3,
20231020297,30076,6,
20231020298,30051,1,
20231020299,30036,6,
20231020300,30067,7,
20231020301,30051,1,
20231020302,30053,3,
20231020303,30061,1,
20231020304,30054,4,
20231020305,30049,9,
20231020306,30068,8,
20231020307,30065,5,
20231020308,30047,7,
20231020309,30050,0,
20231020310,30027,7,
20231020311,30014,4,
20231020312,30003,3,
20231020313,30001,1,
20231020314,30027,7,
20231020315,30048,8,
20231020316,30045,5,
20231020317,30026,6,
20231020318,30017,7,
20231020319,29992,2,
20231020320,29977,7,
20231020321,29972,2,
20231020322,29966,6,
20231020323,29939,9,
20231020324,29931,1,
20231020325,29921,1,
20231020326,29897,7,
20231020327,29882,2,
20231020328,29904,4,
20231020329,29928,8,
20231020330,29923,3,
20231020331,29903,3,
20231020332,29905,5,
20231020333,29892,2,
20231020334,29909,9,
20231020335,29901,1,
20231020336,29918,8,
20231020337,29947,7,
20231020338,29976,6,
20231020339,29957,7,
20231020340,29967,7,
20231020341,29996,6,
20231020342,29992,2,
20231020343,29975,5,
20231020344,29956,6,
20231020345,29933,3,
20231020346,29933,3,
20231020347,29924,4,
20231020348,29894,4,
20231020349,29894,4,
20231020350,29878,8,
20231020351,29851,1,
20231020352,29852,2,
20231020353,29849,9,
20231020354,29831,1,
20231020355,29813,3,
20231020356,29791,1,
20231020357,29786,6,
20231020358,29767,7,
20231020359,29777,7,
20231020360,29766,6,
20231020361,29766,6,
20231020362,29752,2,
20231020363,29742,2,
20231020364,29742,2,
20231020365,29729,9,
20231020366,29723,3,
20231020367,29697,7,
20231020368,29714,4,
20231020369,29703,3,
20231020370,29695,5,
20231020371,29692,2,
20231020372,29673,3,
20231020373,29675,5,
20231020374,29649,9,
20231020375,29633,3,
20231020376,29643,3,
20231020377,29669,9,
20231020378,29675,5,
20231020379,29664,4,
20231020380,29677,7,
20231020381,29669,9,
20231020382,29665,5,
20231020383,29650,0,
20231020384,29666,6,
20231020385,29643,3,
20231020386,29617,7,
20231020387,29636,6,
20231020388,29632,2,
20231020389,29664,4,
20231020390,29661,1,
20231020391,29681,1,
20231020392,29692,2,
20231020393,29719,9,
20231020394,29711,1,
20231020395,29720,0,
20231020396,29741,1,
20231020397,29759,9,
20231020398,29752,2,
20231020399,29747,7,
20231020400,29755,5,
20231020401,29751,1,
20231020402,29777,7,
20231020403,29762,2,
20231020404,29732,2,
20231020405,29764,4,
20231020406,29748,8,
20231020407,29728,8,
20231020408,29731,1,
20231020409,29721,1,
20231020410,29701,1,
20231020411,29697,7,
20231020412,29686,6,
20231020413,29694,4,
20231020414,29671,1,
20231020415,29661,1,
20231020416,29697,7,
20231020417,29687,7,
20231020418,29708,8,
20231020419,29674,4,
20231020420,29684,4,
20231020421,29701,1,
20231020422,29716,6,
20231020423,29690,0,
20231020424,29707,7,
20231020425,29720,0,
20231020426,29704,4,
20231020427,29691,1,
20231020428,29711,1,
20231020429,29713,3,
20231020430,29740,0,
20231020431,29732,2,
20231020432,29714,4,
20231020433,29737,7,
20231020434,29768,8,
20231020435,29742,2,
20231020436,29766,6,
20231020437,29781,1,
20231020438,29772,2,
20231020439,29774,4,
20231020440,29774,4,
20231020441,29765,5,
20231020442,29759,9,
20231020443,29737,7,
20231020444,29713,3,
20231020445,29717,7,
20231020446,29700,0,
20231020447,29677,7,
20231020448,29673,3,
20231020449,29693,3,
20231020450,29693,3,
20231020451,29676,6,
20231020452,29677,7,
20231020453,29708,8,
20231020454,29688,8,
20231020455,29709,9,
20231020456,29699,9,
20231020457,29692,2,
20231020458,29671,1,
20231020459,29667,7,
20231020460,29639,9,
20231020461,29616,6,
20231020462,29623,3,
20231020463,29616,6,
20231020464,29632,2,
20231020465,29612,2,
20231020466,29620,0,
20231020467,29658,8,
20231020468,29660,0,
20231020469,29667,7,
20231020470,29654,4,
20231020471,29688,8,
20231020472,29683,3,
20231020473,29667,7,
20231020474,29699,9,
20231020475,29671,1,
20231020476,29651,1,
20231020477,29631,1,
20231020478,29654,4,
20231020479,29684,4,
20231020480,29677,7,
20231021001,29972,2,
20231021002,29984,4,
20231021003,29958,8,
20231021004,29936,6,
