datetime,number
2023-06-30 21:32:00,8
2023-06-30 21:35:00,6
2023-06-30 21:38:00,8
2023-06-30 21:41:00,0
2023-06-30 21:44:00,0
2023-06-30 21:47:00,3
2023-06-30 21:50:00,5
2023-06-30 21:53:00,8
2023-06-30 21:56:00,1
2023-06-30 21:59:00,4
2023-06-30 22:02:00,6
2023-06-30 22:05:00,0
2023-06-30 22:08:00,6
2023-06-30 22:11:00,7
2023-06-30 22:14:00,3
2023-06-30 22:17:00,8
2023-06-30 22:20:00,4
2023-06-30 22:23:00,3
2023-06-30 22:26:00,7
2023-06-30 22:29:00,1
2023-06-30 22:32:00,9
2023-06-30 22:35:00,6
2023-06-30 22:38:00,1
2023-06-30 22:41:00,2
2023-06-30 22:44:00,2
2023-06-30 22:47:00,1
2023-06-30 22:50:00,4
2023-06-30 22:53:00,1
2023-06-30 22:56:00,9
2023-06-30 22:59:00,7
2023-06-30 23:02:00,8
2023-06-30 23:05:00,7
2023-06-30 23:08:00,2
2023-06-30 23:11:00,3
2023-06-30 23:14:00,4
2023-06-30 23:17:00,6
2023-06-30 23:20:00,9
2023-06-30 23:23:00,1
2023-06-30 23:26:00,7
2023-06-30 23:29:00,2
2023-06-30 23:32:00,7
2023-06-30 23:35:00,7
2023-06-30 23:38:00,1
2023-06-30 23:41:00,2
2023-06-30 23:44:00,3
2023-06-30 23:47:00,3
2023-06-30 23:50:00,6
2023-06-30 23:53:00,7
2023-06-30 23:56:00,6
2023-06-30 23:59:00,9
2023-07-01 00:02:00,4
2023-07-01 00:05:00,1
2023-07-01 00:08:00,3
2023-07-01 00:11:00,4
2023-07-01 00:14:00,6
2023-07-01 00:17:00,1
2023-07-01 00:20:00,6
2023-07-01 00:23:00,3
2023-07-01 00:26:00,1
2023-07-01 00:29:00,6
2023-07-01 00:32:00,2
2023-07-01 00:35:00,6
2023-07-01 00:38:00,1
2023-07-01 00:41:00,7
2023-07-01 00:44:00,6
2023-07-01 00:47:00,8
2023-07-01 00:50:00,3
2023-07-01 00:53:00,4
2023-07-01 00:56:00,3
2023-07-01 00:59:00,6
2023-07-01 01:02:00,4
2023-07-01 01:05:00,6
2023-07-01 01:08:00,7
2023-07-01 01:11:00,2
2023-07-01 01:14:00,1
2023-07-01 01:17:00,8
2023-07-01 01:20:00,8
2023-07-01 01:23:00,4
2023-07-01 01:26:00,1
2023-07-01 01:29:00,0
2023-07-01 01:32:00,6
2023-07-01 01:35:00,0
2023-07-01 01:38:00,3
2023-07-01 01:41:00,4
2023-07-01 01:44:00,9
2023-07-01 01:47:00,3
2023-07-01 01:50:00,2
2023-07-01 01:53:00,9
2023-07-01 01:56:00,7
2023-07-01 01:59:00,7
2023-07-01 02:02:00,3
2023-07-01 02:05:00,4
2023-07-01 02:08:00,3
2023-07-01 02:11:00,9
2023-07-01 02:14:00,8
2023-07-01 02:17:00,8
2023-07-01 02:20:00,8
2023-07-01 02:23:00,4
2023-07-01 02:26:00,7
2023-07-01 02:29:00,7
2023-07-01 02:32:00,5
2023-07-01 02:35:00,9
2023-07-01 02:38:00,6
2023-07-01 02:41:00,2
2023-07-01 02:44:00,1
2023-07-01 02:47:00,5
2023-07-01 02:50:00,7
2023-07-01 02:53:00,7
2023-07-01 02:56:00,1
2023-07-01 02:59:00,6
2023-07-01 03:02:00,9
2023-07-01 03:05:00,6
2023-07-01 03:08:00,8
2023-07-01 03:11:00,8
2023-07-01 03:14:00,6
2023-07-01 03:17:00,9
2023-07-01 03:20:00,7
2023-07-01 03:23:00,5
2023-07-01 03:26:00,6
2023-07-01 03:29:00,8
2023-07-01 03:32:00,8
2023-07-01 03:35:00,1
2023-07-01 03:38:00,2
2023-07-01 03:41:00,1
2023-07-01 03:44:00,3
2023-07-01 03:47:00,7
2023-07-01 04:20:00,6
2023-07-01 04:23:00,8
2023-07-01 04:26:00,7
2023-07-01 04:29:00,6
2023-07-01 04:32:00,6
2023-07-01 04:35:00,2
2023-07-01 04:38:00,7
2023-07-01 04:41:00,7
2023-07-01 04:44:00,9
2023-07-01 04:47:00,6
2023-07-01 04:50:00,2
2023-07-01 04:53:00,5
2023-07-01 04:56:00,4
2023-07-01 04:59:00,7
2023-07-01 05:02:00,8
2023-07-01 05:05:00,9
2023-07-01 05:08:00,9
2023-07-01 05:11:00,4
2023-07-01 05:14:00,3
2023-07-01 05:17:00,7
2023-07-01 05:20:00,6
2023-07-01 05:23:00,5
2023-07-01 05:26:00,7
2023-07-01 05:29:00,3
2023-07-01 05:32:00,7
2023-07-01 05:35:00,7
2023-07-01 05:38:00,4
2023-07-01 05:41:00,9
2023-07-01 05:44:00,4
2023-07-01 05:47:00,2
2023-07-01 05:50:00,8
2023-07-01 05:53:00,2
2023-07-01 05:56:00,4
2023-07-01 05:59:00,6
2023-07-01 06:02:00,3
2023-07-01 06:05:00,6
2023-07-01 06:08:00,8
2023-07-01 06:11:00,9
2023-07-01 06:14:00,4
2023-07-01 06:17:00,7
2023-07-01 06:20:00,3
2023-07-01 06:23:00,3
2023-07-01 06:26:00,7
2023-07-01 06:29:00,1
2023-07-01 06:32:00,1
2023-07-01 06:35:00,9
2023-07-01 06:38:00,7
2023-07-01 06:41:00,1
2023-07-01 06:44:00,1
2023-07-01 06:47:00,2
2023-07-01 07:20:00,0
2023-07-01 07:23:00,3
2023-07-01 07:26:00,7
2023-07-01 07:29:00,8
2023-07-01 07:32:00,7
2023-07-01 07:35:00,7
2023-07-01 07:38:00,2
2023-07-01 07:41:00,1
2023-07-01 07:44:00,8
2023-07-01 07:47:00,3
2023-07-01 07:50:00,6
2023-07-01 07:53:00,3
2023-07-01 07:56:00,1
2023-07-01 07:59:00,8
2023-07-01 08:02:00,3
2023-07-01 08:05:00,1
2023-07-01 08:08:00,9
2023-07-01 08:11:00,2
2023-07-01 08:14:00,6
2023-07-01 08:17:00,7
2023-07-01 08:50:00,3
2023-07-01 08:53:00,3
2023-07-01 08:56:00,3
2023-07-01 08:59:00,1
2023-07-01 09:02:00,7
2023-07-01 09:05:00,3
2023-07-01 09:08:00,6
2023-07-01 09:11:00,1
2023-07-01 09:14:00,2
2023-07-01 09:17:00,3
2023-07-01 09:20:00,3
2023-07-01 09:23:00,4
2023-07-01 09:26:00,1
2023-07-01 09:29:00,6
2023-07-01 09:32:00,4
2023-07-01 09:35:00,7
2023-07-01 09:38:00,2
2023-07-01 09:41:00,6
2023-07-01 09:44:00,7
2023-07-01 09:47:00,9
2023-07-01 10:20:00,1
2023-07-01 10:23:00,9
2023-07-01 10:26:00,6
2023-07-01 10:29:00,0
2023-07-01 10:32:00,9
2023-07-01 10:35:00,8
2023-07-01 10:38:00,2
2023-07-01 10:41:00,9
2023-07-01 10:44:00,6
2023-07-01 10:47:00,6
2023-07-01 10:50:00,9
2023-07-01 10:53:00,1
2023-07-01 10:56:00,9
2023-07-01 10:59:00,2
2023-07-01 11:02:00,9
2023-07-01 11:05:00,7
2023-07-01 11:08:00,1
2023-07-01 11:11:00,8
2023-07-01 11:14:00,2
2023-07-01 11:17:00,9
2023-07-01 11:20:00,4
2023-07-01 11:23:00,2
2023-07-01 11:26:00,7
2023-07-01 11:29:00,4
2023-07-01 11:32:00,8
2023-07-01 11:35:00,9
2023-07-01 11:38:00,9
2023-07-01 11:41:00,3
2023-07-01 11:44:00,1
2023-07-01 11:47:00,6
2023-07-01 11:50:00,1
2023-07-01 11:53:00,2
2023-07-01 11:56:00,6
2023-07-01 11:59:00,2
2023-07-01 12:02:00,9
2023-07-01 12:05:00,7
2023-07-01 12:08:00,9
2023-07-01 12:11:00,0
2023-07-01 12:14:00,6
2023-07-01 12:17:00,7
2023-07-01 12:20:00,4
2023-07-01 12:23:00,4
2023-07-01 12:26:00,9
2023-07-01 12:29:00,3
2023-07-01 12:32:00,4
2023-07-01 12:35:00,6
2023-07-01 12:38:00,7
2023-07-01 12:41:00,4
2023-07-01 12:44:00,2
2023-07-01 12:47:00,7
2023-07-01 13:20:00,4
2023-07-01 13:23:00,1
2023-07-01 13:26:00,9
2023-07-01 13:29:00,6
2023-07-01 13:32:00,1
2023-07-01 13:35:00,0
2023-07-01 13:38:00,4
2023-07-01 13:41:00,1
2023-07-01 13:44:00,7
2023-07-01 13:47:00,7
2023-07-01 13:50:00,6
2023-07-01 13:53:00,3
2023-07-01 13:56:00,1
2023-07-01 13:59:00,6
2023-07-01 14:02:00,7
2023-07-01 14:05:00,9
2023-07-01 14:08:00,3
2023-07-01 14:11:00,4
2023-07-01 14:14:00,7
2023-07-01 14:17:00,1
2023-07-01 14:20:00,3
2023-07-01 14:23:00,6
2023-07-01 14:26:00,1
2023-07-01 14:29:00,6
2023-07-01 14:32:00,7
2023-07-01 14:35:00,3
2023-07-01 14:38:00,9
2023-07-01 14:41:00,2
2023-07-01 14:44:00,8
2023-07-01 14:47:00,4
2023-07-01 14:50:00,2
2023-07-01 14:53:00,7
2023-07-01 14:56:00,9
2023-07-01 14:59:00,1
2023-07-01 15:02:00,1
2023-07-01 15:05:00,2
2023-07-01 15:08:00,2
2023-07-01 15:11:00,6
2023-07-01 15:14:00,1
2023-07-01 15:17:00,1
2023-07-01 15:20:00,3
2023-07-01 15:23:00,8
2023-07-01 15:26:00,7
2023-07-01 15:29:00,7
2023-07-01 15:32:00,6
2023-07-01 15:35:00,2
2023-07-01 15:38:00,8
2023-07-01 15:41:00,0
2023-07-01 15:44:00,2
2023-07-01 15:47:00,1
2023-07-01 15:50:00,2
2023-07-01 15:53:00,6
2023-07-01 15:56:00,6
2023-07-01 15:59:00,9
2023-07-01 16:02:00,4
2023-07-01 16:05:00,8
2023-07-01 16:08:00,1
2023-07-01 16:11:00,9
2023-07-01 16:14:00,3
2023-07-01 16:17:00,1
2023-07-01 16:50:00,8
2023-07-01 16:53:00,8
2023-07-01 16:56:00,7
2023-07-01 16:59:00,6
2023-07-01 17:02:00,3
2023-07-01 17:05:00,2
2023-07-01 17:08:00,8
