datetime,price,number,type
20231021252,44938,8,
20231021253,44953,3,
20231021254,44953,3,
20231021255,44934,4,
20231021256,44956,6,
20231021257,44934,4,
20231021258,44969,9,
20231021259,44948,8,
20231021260,44924,4,
20231021261,44947,7,
20231021262,44919,9,
20231021263,44893,3,
20231021264,44874,4,
20231021265,44860,0,
20231021266,44881,1,
20231021267,44917,7,
20231021268,44912,2,
20231021269,44922,2,
20231021270,44933,3,
20231021271,44957,7,
20231021272,44962,5,
20231021273,44989,7,
20231021274,44967,2,
20231021275,44968,1,
20231021276,44962,2,
20231021277,44958,1,
20231021278,44955,3,
20231021279,44937,8,
20231021280,44936,1,
20231021281,44944,4,
20231021282,44924,4,
20231021283,44910,8,
20231021284,44936,6,
20231021285,44915,1,
20231021286,44934,9,
20231021287,44952,8,
20231021288,44924,8,
20231021289,44900,4,
