datetime,price,number,type
20231021252,59804,4,
20231021253,59798,8,
20231021254,59804,4,
20231021255,59817,7,
20231021256,59791,1,
20231021257,59771,1,
20231021258,59780,0,
20231021259,59754,4,
20231021260,59787,7,
20231021261,59817,7,
20231021262,59820,0,
20231021263,59842,2,
20231021264,59823,3,
20231021265,59854,4,
20231021266,59842,2,
20231021267,59843,3,
20231021268,59856,6,
20231021269,59840,0,
20231021270,59824,4,
20231021271,59846,6,
20231021272,59813,7,
20231021273,59806,7,
20231021274,59791,1,
20231021275,59789,7,
20231021276,59775,4,
20231021277,59773,2,
20231021278,59781,1,
20231021279,59769,4,
20231021280,59742,7,
20231021281,59719,3,
20231021282,59701,8,
20231021283,59700,1,
20231021284,59714,4,
20231021285,59726,2,
20231021286,59727,1,
20231021287,59728,1,
20231021288,59718,0,
20231021289,59747,9,
