datetime,price,number,type
20231021252,15129,9,
20231021253,15113,3,
20231021254,15098,8,
20231021255,15064,4,
20231021256,15046,6,
20231021257,15066,6,
20231021258,15093,3,
20231021259,15072,2,
20231021260,15071,1,
20231021261,15068,8,
20231021262,15069,9,
20231021263,15053,3,
20231021264,15089,9,
20231021265,15082,2,
20231021266,15064,4,
20231021267,15047,7,
20231021268,15019,9,
20231021269,15027,7,
20231021270,15049,9,
20231021271,15054,4,
20231021272,15061,1,
20231021273,15043,7,
20231021274,15033,0,
20231021275,15054,1,
20231021276,15044,4,
20231021277,15018,3,
20231021278,15025,7,
20231021279,15014,1,
20231021280,14990,4,
20231021281,14973,7,
20231021282,14982,2,
20231021283,14974,0,
20231021284,14960,4,
20231021285,14944,6,
20231021286,14938,6,
20231021287,14915,3,
20231021288,14939,4,
20231021289,14920,9,
