datetime,price,number,type
20231021252,29747,7,
20231021253,29737,7,
20231021254,29743,3,
20231021255,29756,6,
20231021256,29746,6,
20231021257,29712,2,
20231021258,29742,2,
20231021259,29750,0,
20231021260,29753,3,
20231021261,29727,7,
20231021262,29711,1,
20231021263,29713,3,
20231021264,29701,1,
20231021265,29713,3,
20231021266,29735,5,
20231021267,29723,3,
20231021268,29755,5,
20231021269,29771,1,
20231021270,29792,2,
20231021271,29769,9,
20231021272,29771,9,
20231021273,29770,0,
20231021274,29751,1,
20231021275,29741,7,
20231021276,29751,1,
20231021277,29741,3,
20231021278,29733,3,
20231021279,29745,5,
20231021280,29752,4,
20231021281,29747,5,
20231021282,29745,5,
20231021283,29717,6,
20231021284,29735,8,
20231021285,29737,2,
20231021286,29714,3,
20231021287,29726,2,
20231021288,29711,1,
20231021289,29729,9,
